date,t,s,i,r
2020-07-22,149,59017644.18073189,12336.913693892895,970018.9055741639
2020-07-23,150,59017628.75530581,11778.26851825949,970592.9761758795
2020-07-24,151,59017614.578462854,11244.383122081155,971141.0384150116
2020-07-25,152,59017601.549745955,10734.204176629955,971664.2460773627
2020-07-26,153,59017589.57671049,10246.719512784102,972163.7037766689
2020-07-27,154,59017578.57429915,9780.95680809181,972640.4688927084
2020-07-28,155,59017568.46424907,9335.982328436365,973095.5534224486
2020-07-29,156,59017559.17455391,8910.899660324212,973529.9257857145
2020-07-30,157,59017550.63898057,8504.848429173668,973944.5125902097
2020-07-31,158,59017542.79660681,8117.003082660877,974340.2003104776
2020-08-01,159,59017535.591389574,7746.571711179994,974717.8368991952
2020-08-02,160,59017528.971792005,7392.794824126279,975078.2333838145
2020-08-03,161,59017522.890423104,7054.944198762209,975422.1653780758
2020-08-04,162,59017517.30369611,6732.321770169735,975750.3745336656
2020-08-05,163,59017512.171535335,6424.2585052088125,976063.5699594027
2020-08-06,164,59017507.45709781,6130.11332155687,976362.4295805664
2020-08-07,165,59017503.12650679,5849.272058479721,976647.6014346716
2020-08-08,166,59017499.14861692,5581.14645111461,976919.7049319084
2020-08-09,167,59017495.49480115,5325.173127979124,977179.3320708113
2020-08-10,168,59017492.1387449,5080.8126585256905,977427.048596513
2020-08-11,169,59017489.05625606,4847.54862927442,977663.3951145984
2020-08-12,170,59017486.22510221,4624.886726010322,977888.8881717211
2020-08-13,171,59017483.624850765,4412.353863971093,978104.021285202
2020-08-14,172,59017481.23672043,4209.497348262572,978309.2659312482
2020-08-15,173,59017479.04345334,4015.884046610648,978505.0724999806
2020-08-16,174,59017477.02919206,3831.0995998410885,978691.8712080336
2020-08-17,175,59017475.17936168,3654.747668888302,978870.0729693684
2020-08-18,176,59017473.48057074,3486.449189766596,979040.0702394313
2020-08-19,177,59017471.920516066,3325.841663320984,979202.2378205507
2020-08-20,178,59017470.48789181,3172.578474338044,979356.9336337881
2020-08-21,179,59017469.17231059,3026.3282294384994,979504.4994599043
2020-08-22,180,59017467.964230545,2886.7741197391683,979645.2616496487
2020-08-23,181,59017466.8548846,2753.6133131711717,979779.5318021576
2020-08-24,182,59017465.83621794,2626.5563655450096,979907.6074164436
2020-08-25,183,59017464.90083224,2505.326651088413,980029.7725166024
2020-08-26,184,59017464.04193117,2389.659820299528,980146.2982484683
2020-08-27,185,59017463.25327053,2279.303278180909,980257.4434512261
2020-08-28,186,59017462.529115625,2174.0156787014175,980363.4552056094
2020-08-29,187,59017461.86419919,2073.566442873012,980464.5693578724
2020-08-30,188,59017461.25368197,1977.7352963221686,980561.0110216463
2020-08-31,189,59017460.69311983,1886.311822193429,980652.9950579129
2020-09-01,190,59017460.1784314,1799.0950341956798,980740.7265343413
2020-09-02,191,59017459.70586722,1715.8929690811938,980824.4011636387
2020-09-03,192,59017459.271984026,1636.5222915555662,980904.2057243619
2020-09-04,193,59017458.87361992,1560.8079174902844,980980.3184625198
2020-09-05,194,59017458.50787051,1488.5826529991605,981052.9094764242
2020-09-06,195,59017458.17206847,1419.6868476904338,981122.1410837766
