date,t,R0=0.5,R0=1,R0=1.1,R0=1.2
2020-09-03,192,14363.38344177876,198429.48918302046,330774.3740218952,545904.2895413622
2020-09-04,193,14019.07397684028,198102.60484644343,331609.1169468852,549405.2292770953
2020-09-05,194,13683.01628094344,197774.82966735275,332441.14158702845,552912.9986158861
2020-09-06,195,13355.012681670476,197446.17243837164,333270.40621253906,556427.3501785203
2020-09-07,196,13034.870247635596,197116.64194887405,334096.86908070446,559948.0328459061
2020-09-08,197,12722.400647598432,196786.24698455632,334920.48844002857,563474.7914991741
2020-09-09,198,12417.420039777773,196454.99632700987,335741.22253441234,567007.3670740179
2020-09-10,199,12119.749004416004,196122.89875329589,336559.02960109006,570545.4966080952
2020-09-11,200,11829.212422413248,195789.96303552098,337373.8678559233,574088.9132519243
2020-09-12,201,11545.639375672421,195456.19794041454,338185.6955413125,577637.3462815252
2020-09-13,202,11268.863021280962,195121.61222890735,338994.4709138716,581190.5211128521
2020-09-14,203,10998.720495280593,194786.21465571193,339800.15224573633,584748.1593180647
2020-09-15,204,10735.05285158885,194450.0139689038,340602.69782888406,588309.9786436802
2020-09-16,205,10477.704954755663,194113.0189095048,341402.0659794883,591875.6930306568
2020-09-17,206,10226.525391641222,193775.2382110674,342198.21504230844,595445.0125400057
2020-09-18,207,9981.366359088423,193436.68059926043,342991.1033951146,599017.6432980042
2020-09-19,208,9742.083580288716,193097.35479042356,343780.6894531472,602593.2878093263
2020-09-20,209,9508.536249489272,192757.26950722552,344566.93167361175,606171.6448444558
2020-09-21,210,9280.586937239656,192416.43344968103,345349.7885602091,609752.4094602409
2020-09-22,211,9058.101512112858,192074.85531088588,346129.2186676996,613335.2730275535
2020-09-23,212,8840.949040455165,191732.54377432758,346905.1806065036,616919.923260831
2020-09-24,213,8629.001713720023,191389.50751350442,347677.63304733613,620506.0442495368
2020-09-25,214,8422.134798435993,191045.75519154588,348446.53472587676,624093.3164915715
2020-09-26,215,8220.226552498078,190701.2954608348,349211.8444473884,627681.4169286704
2020-09-27,216,8023.158155788405,190356.1369626309,349973.52102880116,631270.0189793868
2020-09-28,217,7830.813620737688,190010.2883266963,350731.52335476666,634858.7924044474
2020-09-29,218,7643.079729204522,189663.75817092232,351485.8104356931,638447.403524229
2020-09-30,219,7459.845987221472,189316.55510095845,352236.34136690944,642035.5153052313
2020-10-01,220,7281.0045510530335,188968.68770984266,352983.07533329126,645622.7873343755
2020-10-02,221,7106.450165702539,188620.16457763375,353725.97161391424,649208.8758629112
2020-10-03,222,6936.080085143517,188270.99427104538,354464.9895867356,652793.4338522349
2020-10-04,223,6769.7940175033245,187921.185343082,355200.0887333035,656376.1110216432
2020-10-05,224,6607.494084151962,187570.74633267667,355931.2286434941,659956.5538980436
2020-10-06,225,6449.084754392158,187219.68576496816,356658.3690202768,663534.4058676463
2020-10-07,226,6294.472790954128,186868.0121569868,357381.46968450735,667109.3072296614
2020-10-08,227,6143.56717887428,186515.73400705642,358100.4905797484,670680.8952236578
2020-10-09,228,5996.27907790027,186162.85979657713,358815.39177711867,674248.8039897094
2020-10-10,229,5852.521785522982,185809.3979913533,359526.1334801692,677812.6648123292
2020-10-11,230,5712.2106792957875,185455.3570412606,360232.6760297884,681372.1061177471
2020-10-12,231,5575.263168521023,185100.74537991596,360934.979909134,684926.7535230189
2020-10-13,232,5441.598630857946,184745.5714243503,361633.0057298217,688476.2298994726
2020-10-14,233,5311.138371005397,184389.84357468406,362326.71414637583,692020.1554381165
2020-10-15,234,5183.8055873131525,184033.570213806,363016.0660396972,695558.1477170264
2020-10-16,235,5059.525320842482,183676.75970705456,363701.0224653615,699089.8217707261
2020-10-17,236,4938.22441253891,183319.42040190243,364381.5446408187,702614.7901615811
2020-10-18,237,4819.831446746074,182961.5606276442,365057.5939501431,706132.6630532193
