,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Aug 06 2017,,2441.32,,2477.14,,2490.87,,2437.75,,-,,-1.43%,
,Jul 30 2017,,2476.83,,2475.94,,2480.38,,2466.48,,-,,0.19%,
,Jul 23 2017,,2472.10,,2472.04,,2484.04,,2459.93,,-,,-0.02%,
,Jul 16 2017,,2472.54,,2459.50,,2477.62,,2450.34,,-,,0.54%,
,Jul 09 2017,,2459.27,,2424.51,,2463.54,,2412.79,,-,,1.41%,
,Jul 02 2017,,2425.18,,2431.39,,2439.17,,2407.70,,-,,0.07%,
,Jun 25 2017,,2423.41,,2443.32,,2450.42,,2405.70,,-,,-0.61%,
,Jun 18 2017,,2438.30,,2442.55,,2453.82,,2430.74,,-,,0.21%,
,Jun 11 2017,,2433.15,,2425.88,,2443.75,,2418.53,,-,,0.06%,
,Jun 04 2017,,2431.77,,2437.83,,2446.20,,2415.70,,-,,-0.30%,
,May 28 2017,,2439.07,,2411.67,,2440.23,,2403.59,,-,,0.96%,
,May 21 2017,,2415.82,,2387.21,,2418.71,,2386.92,,-,,1.43%,
,May 14 2017,,2381.73,,2393.98,,2405.77,,2352.72,,-,,-0.38%,
,May 07 2017,,2390.90,,2399.94,,2403.87,,2381.74,,-,,-0.35%,
,Apr 30 2017,,2399.29,,2388.50,,2399.29,,2379.75,,-,,0.63%,
,Apr 23 2017,,2384.20,,2370.33,,2398.16,,2369.19,,-,,1.51%,
,Apr 16 2017,,2348.69,,2332.62,,2361.37,,2332.51,,-,,0.85%,
,Apr 09 2017,,2328.95,,2357.16,,2366.37,,2328.95,,-,,-1.13%,
,Apr 02 2017,,2355.54,,2362.34,,2378.36,,2344.73,,-,,-0.30%,
,Mar 26 2017,,2362.72,,2329.11,,2370.42,,2322.25,,-,,0.80%,
,Mar 19 2017,,2343.98,,2378.24,,2381.93,,2335.74,,-,,-1.44%,
,Mar 12 2017,,2378.25,,2371.56,,2390.01,,2358.18,,-,,0.24%,
,Mar 05 2017,,2372.60,,2375.23,,2378.80,,2354.54,,-,,-0.44%,
,Feb 26 2017,,2383.12,,2365.23,,2400.98,,2358.96,,-,,0.67%,
,Feb 19 2017,,2367.34,,2354.91,,2368.26,,2352.87,,-,,0.69%,
,Feb 12 2017,,2351.16,,2321.72,,2351.31,,2321.42,,-,,1.51%,
,Feb 05 2017,,2316.10,,2294.28,,2319.23,,2285.38,,-,,0.81%,
,Jan 29 2017,,2297.42,,2286.01,,2298.31,,2267.21,,-,,0.12%,
,Jan 22 2017,,2294.69,,2267.78,,2300.99,,2257.02,,-,,1.03%,
,Jan 15 2017,,2271.31,,2269.14,,2276.96,,2258.41,,-,,-0.15%,
,Jan 08 2017,,2274.64,,2273.59,,2279.27,,2254.25,,-,,-0.10%,
,Jan 01 2017,,2276.98,,2251.57,,2282.10,,2245.13,,-,,1.70%,
,Dec 25 2016,,2238.83,,2266.23,,2273.82,,2233.62,,-,,-1.10%,
,Dec 18 2016,,2263.79,,2259.24,,2272.56,,2256.08,,-,,0.25%,
,Dec 11 2016,,2258.07,,2258.83,,2277.53,,2248.44,,-,,-0.06%,
,Dec 04 2016,,2259.53,,2200.65,,2259.80,,2199.97,,-,,3.08%,
,Nov 27 2016,,2191.95,,2210.21,,2214.10,,2187.44,,-,,-0.97%,
,Nov 20 2016,,2213.35,,2186.43,,2213.35,,2186.43,,-,,1.44%,
,Nov 13 2016,,2181.90,,2165.64,,2189.89,,2156.08,,-,,0.81%,
,Nov 06 2016,,2164.45,,2100.59,,2182.30,,2100.59,,-,,3.80%,
,Oct 30 2016,,2085.18,,2129.78,,2133.25,,2083.79,,-,,-1.94%,
,Oct 23 2016,,2126.41,,2148.50,,2154.79,,2119.36,,-,,-0.69%,
,Oct 16 2016,,2141.16,,2132.95,,2148.44,,2124.43,,-,,0.38%,
,Oct 09 2016,,2132.98,,2160.39,,2169.60,,2114.72,,-,,-0.96%,
,Oct 02 2016,,2153.74,,2164.33,,2165.86,,2144.01,,-,,-0.67%,
,Sep 25 2016,,2168.27,,2158.54,,2175.30,,2141.55,,-,,0.17%,
,Sep 18 2016,,2164.69,,2143.99,,2179.99,,2135.91,,-,,1.19%,
,Sep 11 2016,,2139.16,,2120.86,,2163.30,,2119.12,,-,,0.53%,
,Sep 04 2016,,2127.81,,2181.61,,2187.87,,2127.81,,-,,-2.39%,
,Aug 28 2016,,2179.98,,2170.19,,2184.87,,2157.09,,-,,0.50%,
,Aug 21 2016,,2169.04,,2181.58,,2193.42,,2160.39,,-,,-0.68%,
,Aug 14 2016,,2183.87,,2186.08,,2193.81,,2168.50,,-,,-0.01%,
,Aug 07 2016,,2184.05,,2183.76,,2188.45,,2172.00,,-,,0.05%,
,Jul 31 2016,,2182.87,,2173.15,,2182.87,,2147.58,,-,,0.43%,
,Jul 24 2016,,2173.60,,2173.71,,2177.09,,2159.07,,-,,-0.07%,
,Jul 17 2016,,2175.03,,2162.04,,2175.63,,2159.01,,-,,0.61%,
