,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Mar 22 2015,,474.92,,475.51,,476.83,,474.78,,-,,-0.14%,
,Mar 15 2015,,475.60,,474.26,,475.60,,473.76,,-,,0.15%,
,Mar 08 2015,,474.89,,473.22,,475.36,,473.22,,-,,0.30%,
,Mar 01 2015,,473.48,,473.92,,473.92,,472.84,,-,,-0.08%,
,Feb 22 2015,,473.85,,475.52,,475.52,,473.16,,-,,0.02%,
,Feb 15 2015,,473.76,,474.22,,474.37,,473.50,,-,,-0.04%,
,Feb 08 2015,,473.93,,473.87,,473.93,,473.29,,-,,0.09%,
,Feb 01 2015,,473.51,,473.79,,473.79,,473.40,,-,,0.06%,
,Jan 25 2015,,473.21,,475.20,,475.20,,472.57,,-,,-0.35%,
,Jan 18 2015,,474.86,,472.32,,474.86,,472.32,,-,,0.19%,
,Jan 11 2015,,473.95,,472.03,,473.95,,472.03,,-,,0.39%,
,Jan 04 2015,,472.13,,472.15,,472.61,,472.13,,-,,-0.07%,
,Dec 28 2014,,472.44,,471.22,,472.44,,471.22,,-,,0.33%,
,Dec 21 2014,,470.90,,471.26,,471.26,,470.90,,-,,0.13%,
,Dec 14 2014,,470.29,,470.87,,470.87,,470.29,,-,,0.07%,
,Dec 07 2014,,469.97,,467.24,,469.97,,467.24,,-,,0.76%,
,Nov 30 2014,,466.44,,466.94,,466.94,,466.41,,-,,-0.16%,
,Nov 23 2014,,467.19,,466.21,,468.33,,466.21,,-,,0.22%,
,Nov 16 2014,,466.15,,466.70,,467.13,,466.02,,-,,-0.30%,
,Nov 09 2014,,467.55,,466.22,,467.55,,465.21,,-,,0.38%,
,Nov 02 2014,,465.80,,466.54,,466.79,,465.80,,-,,0.05%,
,Oct 26 2014,,465.55,,464.72,,465.55,,464.63,,-,,0.21%,
,Oct 19 2014,,464.56,,465.13,,467.06,,464.44,,-,,0.08%,
,Oct 12 2014,,464.20,,464.84,,468.57,,464.20,,-,,-0.12%,
,Oct 05 2014,,464.76,,464.46,,464.99,,464.46,,-,,-0.08%,
,Sep 28 2014,,465.12,,464.50,,465.12,,464.50,,-,,0.03%,
,Sep 21 2014,,464.98,,463.58,,464.98,,463.58,,-,,0.53%,
,Sep 14 2014,,462.52,,462.07,,463.18,,462.07,,-,,0.05%,
,Sep 07 2014,,462.31,,465.46,,465.46,,462.31,,-,,-0.78%,
,Aug 31 2014,,465.94,,465.63,,465.94,,464.49,,-,,0.18%,
,Aug 24 2014,,465.12,,464.70,,465.23,,464.64,,-,,0.33%,
,Aug 17 2014,,463.57,,463.11,,463.57,,463.11,,-,,0.14%,
,Aug 10 2014,,462.90,,461.94,,462.93,,461.72,,-,,0.14%,
,Aug 03 2014,,462.25,,460.70,,462.25,,460.45,,-,,0.43%,
,Jul 27 2014,,460.25,,460.07,,460.76,,460.07,,-,,0.10%,
,Jul 20 2014,,459.81,,460.50,,460.50,,459.81,,-,,-0.13%,
,Jul 13 2014,,460.39,,459.69,,460.39,,459.69,,-,,0.18%,
,Jul 06 2014,,459.55,,458.63,,459.83,,458.63,,-,,0.00%,
,Jun 29 2014,,459.54,,458.36,,459.54,,457.81,,-,,0.24%,
,Jun 22 2014,,458.46,,457.48,,458.60,,457.48,,-,,0.26%,
,Jun 15 2014,,457.29,,457.08,,457.29,,456.32,,-,,0.09%,
,Jun 08 2014,,456.87,,457.20,,457.20,,455.99,,-,,-0.03%,
,Jun 01 2014,,457.01,,456.88,,457.01,,455.39,,-,,0.09%,
,May 25 2014,,456.59,,455.57,,457.16,,455.57,,-,,0.16%,
,May 18 2014,,455.86,,456.25,,456.25,,455.34,,-,,0.02%,
,May 11 2014,,455.79,,453.09,,455.79,,453.09,,-,,0.44%,
,May 04 2014,,453.81,,453.79,,453.81,,453.02,,-,,0.11%,
,Apr 27 2014,,453.31,,452.44,,453.31,,451.79,,-,,0.25%,
,Apr 20 2014,,452.18,,451.78,,452.18,,451.53,,-,,-0.10%,
,Apr 13 2014,,452.65,,451.98,,452.76,,451.98,,-,,0.19%,
,Apr 06 2014,,451.80,,451.00,,451.94,,451.00,,-,,0.37%,
,Mar 30 2014,,450.12,,451.07,,451.07,,449.91,,-,,-0.41%,
,Mar 23 2014,,451.96,,449.30,,451.96,,449.30,,-,,0.54%,
,Mar 16 2014,,449.52,,451.10,,451.16,,449.42,,-,,-0.48%,
,Mar 09 2014,,451.70,,449.27,,451.70,,449.27,,-,,0.55%,
,Mar 02 2014,,449.22,,450.86,,450.86,,449.22,,-,,-0.27%,
,Feb 23 2014,,450.42,,448.89,,451.31,,448.47,,-,,0.30%,
,Feb 16 2014,,449.07,,448.75,,449.80,,448.75,,-,,0.02%,
,Feb 09 2014,,449.00,,449.07,,449.07,,448.59,,-,,0.03%,
,Feb 02 2014,,448.88,,448.75,,449.68,,448.75,,-,,0.05%,
,Jan 26 2014,,448.66,,446.70,,448.66,,446.40,,-,,0.41%,
,Jan 19 2014,,446.82,,445.06,,446.82,,444.94,,-,,0.52%,
,Jan 12 2014,,444.52,,443.08,,444.52,,443.08,,-,,0.65%,
,Jan 05 2014,,441.65,,441.55,,441.82,,441.07,,-,,0.20%,
,Dec 29 2013,,440.79,,440.54,,440.79,,440.53,,-,,-0.03%,
,Dec 22 2013,,440.93,,441.57,,441.57,,440.93,,-,,-0.26%,
,Dec 15 2013,,442.06,,443.05,,443.35,,442.06,,-,,-0.24%,
,Dec 08 2013,,443.13,,443.29,,443.58,,443.13,,-,,0.02%,
,Dec 01 2013,,443.06,,445.55,,445.55,,443.06,,-,,-0.66%,
,Nov 24 2013,,446.00,,445.58,,446.00,,445.58,,-,,0.27%,
,Nov 17 2013,,444.82,,445.86,,446.22,,444.82,,-,,-0.26%,
,Nov 10 2013,,446.00,,445.37,,446.00,,444.39,,-,,0.06%,
,Nov 03 2013,,445.75,,446.24,,446.24,,445.31,,-,,-0.15%,
,Oct 27 2013,,446.41,,443.98,,446.41,,443.98,,-,,0.53%,
,Oct 20 2013,,444.06,,442.80,,444.23,,442.50,,-,,0.25%,
,Oct 13 2013,,442.97,,442.63,,442.97,,441.60,,-,,0.08%,
,Oct 06 2013,,442.62,,442.95,,443.89,,442.62,,-,,-0.06%,
,Sep 29 2013,,442.90,,443.60,,443.80,,442.38,,-,,0.01%,
,Sep 22 2013,,442.87,,440.58,,442.87,,440.58,,-,,0.40%,
,Sep 15 2013,,441.12,,440.02,,441.30,,439.64,,-,,0.51%,
,Sep 08 2013,,438.87,,438.22,,438.95,,437.24,,-,,0.36%,
,Sep 01 2013,,437.31,,438.25,,438.63,,437.31,,-,,-0.55%,
,Aug 25 2013,,439.74,,438.13,,439.74,,438.13,,-,,0.45%,
,Aug 18 2013,,437.79,,439.03,,439.70,,437.79,,-,,-0.31%,
,Aug 11 2013,,439.14,,441.71,,441.71,,439.14,,-,,-0.66%,
,Aug 04 2013,,442.04,,442.74,,442.74,,441.38,,-,,0.13%,
,Jul 28 2013,,441.48,,442.77,,443.66,,441.48,,-,,-0.35%,
,Jul 21 2013,,443.03,,445.17,,445.17,,443.03,,-,,-0.51%,
,Jul 14 2013,,445.30,,443.98,,445.30,,443.98,,-,,0.30%,
,Jul 07 2013,,443.96,,442.50,,443.96,,442.50,,-,,0.23%,
,Jun 30 2013,,442.92,,438.78,,442.92,,438.78,,-,,0.71%,
,Jun 23 2013,,439.78,,437.58,,439.78,,437.58,,-,,-0.03%,
,Jun 16 2013,,439.92,,442.55,,442.55,,439.92,,-,,-0.65%,
,Jun 09 2013,,442.79,,442.32,,442.79,,440.42,,-,,-0.07%,
,Jun 02 2013,,443.12,,442.53,,443.12,,441.80,,-,,-0.23%,
,May 26 2013,,444.13,,444.15,,444.15,,442.76,,-,,0.02%,
,May 19 2013,,444.02,,445.08,,445.09,,444.02,,-,,-0.42%,
,May 12 2013,,445.88,,444.82,,445.88,,444.47,,-,,0.15%,
,May 05 2013,,445.22,,446.64,,446.64,,445.22,,-,,-0.52%,
,Apr 28 2013,,447.55,,447.27,,447.55,,447.19,,-,,0.10%,
,Apr 21 2013,,447.09,,446.43,,447.77,,446.43,,-,,0.06%,
,Apr 14 2013,,446.82,,446.31,,446.90,,446.14,,-,,-0.09%,
,Apr 07 2013,,447.23,,447.46,,447.46,,445.60,,-,,0.13%,
,Mar 31 2013,,446.63,,445.93,,446.63,,445.72,,-,,-0.08%,
,Mar 24 2013,,446.99,,445.19,,446.99,,444.90,,-,,0.39%,
,Mar 17 2013,,445.25,,443.78,,445.25,,443.78,,-,,0.68%,
