,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Jan 26 2014,,1598.46,,1618.36,,1620.27,,1588.65,,-,,-1.23%,
,Jan 19 2014,,1618.36,,1656.28,,1664.23,,1618.13,,-,,-2.35%,
,Jan 12 2014,,1657.32,,1655.48,,1662.13,,1636.19,,-,,0.13%,
,Jan 05 2014,,1655.11,,1644.59,,1655.63,,1638.88,,-,,0.55%,
,Dec 29 2013,,1646.05,,1652.93,,1661.09,,1643.01,,-,,-0.49%,
,Dec 22 2013,,1654.16,,1626.75,,1656.41,,1626.69,,-,,1.69%,
,Dec 15 2013,,1626.66,,1588.16,,1629.33,,1586.14,,-,,2.45%,
,Dec 08 2013,,1587.69,,1612.65,,1619.77,,1585.57,,-,,-1.55%,
,Dec 01 2013,,1612.61,,1627.21,,1628.58,,1596.67,,-,,-0.97%,
,Nov 24 2013,,1628.42,,1624.30,,1633.38,,1620.58,,-,,0.32%,
,Nov 17 2013,,1623.15,,1622.43,,1629.92,,1605.28,,-,,0.10%,
,Nov 10 2013,,1621.50,,1596.47,,1622.49,,1589.10,,-,,1.58%,
,Nov 03 2013,,1596.28,,1598.30,,1611.11,,1581.99,,-,,-0.10%,
,Oct 27 2013,,1597.86,,1608.21,,1618.93,,1592.79,,-,,-0.63%,
,Oct 20 2013,,1607.96,,1597.69,,1614.44,,1597.53,,-,,0.61%,
,Oct 13 2013,,1598.14,,1557.44,,1598.14,,1552.35,,-,,2.62%,
