0,1,2,3,4,5,6,7,8
320,1.9700000000000002,14.72,7.472081218274111,10.0,0.0,40.0,0.0,50.0
321,2.33,11.42,4.901287553648069,10.0,0.0,40.0,10.0,40.0
322,2.68,10.68,3.9850746268656714,10.0,0.0,40.0,20.0,30.0
323,3.0,11.13,3.7100000000000004,10.0,0.0,40.0,30.0,20.0
324,3.31,11.58,3.498489425981873,10.0,0.0,40.0,40.0,10.0
325,3.6,12.04,3.344444444444444,10.0,0.0,40.0,50.0,0.0
326,2.52,11.34,4.5,10.0,0.0,50.0,0.0,40.0
327,2.87,9.8,3.4146341463414633,10.0,0.0,50.0,10.0,30.0
328,3.2,10.25,3.203125,10.0,0.0,50.0,20.0,20.0
329,3.5,10.7,3.057142857142857,10.0,0.0,50.0,30.0,10.0
330,3.7900000000000005,11.15,2.941952506596306,10.0,0.0,50.0,40.0,0.0
331,3.06,9.0,2.941176470588235,10.0,0.0,60.0,0.0,30.0
332,3.39,9.37,2.7640117994100293,10.0,0.0,60.0,10.0,20.0
333,3.69,9.81,2.658536585365854,10.0,0.0,60.0,20.0,10.0
334,3.98,10.26,2.577889447236181,10.0,0.0,60.0,30.0,0.0
335,3.5700000000000003,8.5,2.380952380952381,10.0,0.0,70.0,0.0,20.0
336,3.8800000000000003,8.93,2.301546391752577,10.0,0.0,70.0,10.0,10.0
337,4.17,9.38,2.249400479616307,10.0,0.0,70.0,20.0,0.0
338,4.069999999999999,8.06,1.9803439803439808,10.0,0.0,80.0,0.0,10.0
339,4.359999999999999,8.49,1.9472477064220186,10.0,0.0,80.0,10.0,0.0
340,4.55,7.61,1.6725274725274726,10.0,0.0,90.0,0.0,0.0
341,-0.15000000000000002,34.04,226.93333333333328,10.0,10.0,0.0,0.0,80.0
342,0.29999999999999993,29.17,97.23333333333336,10.0,10.0,0.0,10.0,70.0
343,0.7200000000000001,24.44,33.94444444444444,10.0,10.0,0.0,20.0,60.0
344,1.12,19.61,17.50892857142857,10.0,10.0,0.0,30.0,50.0
345,1.4899999999999998,15.12,10.14765100671141,10.0,10.0,0.0,40.0,40.0
346,1.85,15.58,8.421621621621622,10.0,10.0,0.0,50.0,30.0
347,2.19,16.06,7.333333333333333,10.0,10.0,0.0,60.0,20.0
348,2.5100000000000002,16.62,6.621513944223107,10.0,10.0,0.0,70.0,10.0
349,2.81,17.28,6.149466192170819,10.0,10.0,0.0,80.0,0.0
