t,s,i,r
276,226533.32952187408,64.23175488617181,59773402.43872315
277,226533.2323150651,59.89757356887845,59773406.87011127
278,226533.14166754088,55.855850806980385,59773411.00248156
279,226533.05713669356,52.08685228424574,59773414.85601093
280,226532.97830978304,48.57217535626525,59773418.44951476
281,226532.90480191918,45.294659084371204,59773421.8005389
282,226532.83625418475,42.23830054962663,59773424.92544517
283,226532.7723318807,39.38817662411474,59773427.8394914
284,226532.7127228937,36.73037118389201,59773430.55690583
285,226532.6571361706,34.2519071007791,59773433.09095663
286,226532.60530029857,31.94068292475493,59773435.454016685
287,226532.55696217882,29.78541376744683,59773437.657623954
288,226532.5118857913,27.775576216631173,59773439.7125379
289,226532.46985104217,25.901356953304656,59773441.6287919
290,226532.43065268896,24.153604825788413,59773443.41574238
291,226532.3940993387,22.52378618945258,59773445.08211437
292,226532.36001251292,21.00394320972914,59773446.636044174
293,226532.32822577687,19.58665504370358,59773448.085119076
294,226532.29858392605,18.265001566033572,59773449.436414406
295,226532.27094222917,17.032529622046923,59773450.69652805
296,226532.24516572073,15.883221479685107,59773451.87161269
297,226532.2211285428,14.811465483038244,59773452.96740587
298,226532.19871332953,13.8120286214743,59773453.98925795
299,226532.17781063513,12.880031004270455,59773454.94215825
300,226532.15831839864,12.01092201418696,59773455.83075949
301,226532.14014144606,11.200458102326607,59773456.659400344
302,226532.12319102546,10.444682060020543,59773457.432126805
303,226532.10738437364,9.739903700424348,59773458.15271183
304,226532.09264431216,9.082681842089624,59773458.82467375
305,226532.07889887024,8.469807501307498,59773459.45129353
306,226532.06608093364,7.898288232950477,59773460.035630725
307,226532.0541279167,7.365333507404688,59773460.58053847
308,226532.042981457,6.868341099399675,59773461.08867734
309,226532.03258713015,6.404884367324633,59773461.5625284
310,226532.0228941843,5.972700419633146,59773462.00440529
311,226532.01385529208,5.569679052106622,59773462.41646556
312,226532.00542631975,5.193852456779058,59773462.80072113
313,226531.9975661115,4.843385603405072,59773463.15904819
314,226531.99023628872,4.516567288026092,59773463.49319632
315,226531.98340106237,4.211801771508363,59773463.80479707
316,226531.97702705846,3.9276009923092845,59773464.09537185
317,226531.97108315493,3.6625772985561103,59773464.36633945
318,226531.96554032978,3.4154366730982724,59773464.619022906
319,226531.96037151932,3.184972416421841,59773464.854655966
320,226531.95555148605,2.970059252206314,59773465.07438917
321,226531.95105669546,2.769647836757135,59773465.27929538
322,226531.94686520103,2.5827596307464975,59773465.47037508
323,226531.94295653715,2.408482126599884,59773465.64856125
324,226531.9393116192,2.2459643876318878,59773465.8147239
325,226531.93591265037,2.0944128984605115,59773465.96967437
326,226531.9327430346,1.953087685759445,59773466.114169195
327,226531.92978729578,1.8212987094070228,59773466.24891391
328,226531.92703100215,1.6984024898024086,59773466.37456643
329,226531.92446069565,1.583798968692282,59773466.49174025
330,226531.92206382635,1.4769285773439695,59773466.601007506
331,226531.91982869123,1.3772695055938164,59773466.70290172
332,226531.9177443769,1.2843351534904455,59773466.79792038
333,226531.91580070637,1.1976717553236162,59773466.886527464
334,226531.9139881894,1.11685616467373,59773466.96915557
335,226531.91229797606,1.0414937872342096,59773467.04620815
336,226531.9107218137,0.9712166556450974,59773467.11806145
337,226531.90925200644,0.9056816310505632,59773467.18506629
338,226531.90788137773,0.8445687296097137,59773467.24754982
339,226531.90660323526,0.7875795581886859,59773467.305817135
