t,s,i,r
239,58895598.519412674,9.36399345921669,1104392.1165938643
240,58895598.51810927,8.719722940597169,1104392.762167785
241,58895598.51693813,8.119739056015598,1104393.3633228093
242,58895598.51588584,7.561001779061043,1104393.9231123782
243,58895598.51494034,7.040679279392829,1104394.4443803795
244,58895598.51409079,6.556133826509484,1104394.929775376
245,58895598.51332747,6.104908417234598,1104395.3817641072
246,58895598.51264162,5.684714518561398,1104395.8026438532
247,58895598.512025386,5.293420468253467,1104396.1945541378
248,58895598.5114717,4.929040816842378,1104396.5594874732
249,58895598.51097423,4.589726273667579,1104396.8992994975
250,58895598.510527246,4.273754426151534,1104397.2157183269
251,58895598.51012564,3.9795210347890504,1104397.510353325
252,58895598.5097648,3.705531951227041,1104397.7847032459
253,58895598.50944059,3.4503955838496303,1104398.040163818
254,58895598.509149306,3.2128158582084847,1104398.2780348347
255,58895598.50888758,2.9915856989026,1104398.4995267114
256,58895598.50865244,2.785580897807244,1104398.7057666585
257,58895598.508441165,2.5937544730443767,1104398.8978043546
258,58895598.50825135,2.4151313334777345,1104399.0766173142
259,58895598.5080808,2.2488033917751933,1104399.2431158025
260,58895598.50792757,2.093924929098183,1104399.3981474948
261,58895598.5077899,1.949708353871467,1104399.5425017406
262,58895598.507666215,1.8154201819763405,1104399.676913604
263,58895598.50755508,1.6903773512035265,1104399.8020675657
264,58895598.507455245,1.5739437392735667,1104399.9186010235
265,58895598.50736553,1.465526958425173,1104400.0271075112
266,58895598.50728494,1.3645753420347098,1104400.1281397245
267,58895598.50721253,1.2705751549580302,1104400.222212324
268,58895598.50714746,1.1830479871673547,1104400.3098045501
269,58895598.50708901,1.1015483253679184,1104400.3913626634
270,58895598.50703649,1.0256612994514858,1104400.4673022046
271,58895598.50698931,0.9550005683227699,1104400.5380101176
272,58895598.50694692,0.8892063714983544,1104400.6038467044
273,58895598.506908834,0.8279436894003389,1104400.6651474712
274,58895598.50687461,0.7709005572176878,1104400.7222248202
275,58895598.50684387,0.7177864664509378,1104400.7753696525
276,58895598.50681625,0.668330903304349,1104400.824852835
277,58895598.506791435,0.6222819623000306,1104400.8709265902
278,58895598.50676914,0.5794050773139874,1104400.9138257687
279,58895598.50674911,0.539481820800155,1104400.9537690547
280,58895598.506731115,0.5023088008839286,1104400.9909600695
281,58895598.50671495,0.4676966223654485,1104401.025588415
282,58895598.50670042,0.43546892742463744,1104401.0578306352
283,58895598.50668737,0.4054614972087828,1104401.087851115
284,58895598.50667565,0.37752141709162707,1104401.115802919
285,58895598.50666512,0.3515063001252243,1104401.1418285694
286,58895598.506655656,0.3272835612444569,1104401.1660607716
287,58895598.50664715,0.3047297451780276,1104401.1886230896
288,58895598.50663951,0.28372989128297477,1104401.2096305818
289,58895598.50663265,0.264176961168581,1104401.2291903745
290,58895598.50662649,0.24597128287511696,1104401.2474022182
291,58895598.50662094,0.2290200494444038,1104401.2643589908
292,58895598.50661597,0.21323684499954204,1104401.2801471716
293,58895598.506611496,0.19854120200638992,1104401.2948472854
294,58895598.50660748,0.18485819870085787,1104401.3085343055
295,58895598.50660387,0.17211806919912226,1104401.3212780436
296,58895598.506600626,0.16025585545240015,1104401.3331434994
297,58895598.50659771,0.14921107217025922,1104401.3441911954
298,58895598.5065951,0.13892739984078736,1104401.3544774847
299,58895598.50659274,0.1293523995586681,1104401.364054836
300,58895598.50659063,0.12043724200408774,1104401.3729721059
301,58895598.506588735,0.11213646408453382,1104401.3812747812
302,58895598.50658703,0.1044077325376427,1104401.3890052177
303,58895598.50658549,0.0972116312155679,1104401.3962028506
304,58895598.506584115,0.09051145930921,1104401.4029043985
305,58895598.506582886,0.08427304366916531,1104401.4091440504
306,58895598.50658177,0.07846456724850101,1104401.4149536374
307,58895598.50658078,0.07305640159807515,1104401.4203628008
308,58895598.50657988,0.06802096110807031,1104401.4253991377
309,58895598.50657908,0.06333256261752453,1104401.4300883417
310,58895598.506578356,0.0589672897107427,1104401.4344543382
311,58895598.50657771,0.054902875970022254,1104401.438519402
312,58895598.50657712,0.051118588508722494,1104401.4423042734
313,58895598.5065766,0.047595121208282416,1104401.4458282655
314,58895598.50657613,0.044314501000220524,1104401.4491093569
315,58895598.5065757,0.04125999153874921,1104401.4521642898
316,58895598.50657532,0.038416009257362015,1104401.4550086525
317,58895598.50657498,0.03576804633883996,1104401.4576569572
318,58895598.50657467,0.033302593001049756,1104401.4601227175
319,58895598.50657439,0.03100707102928658,1104401.4624185155
320,58895598.50657415,0.028869769379657777,1104401.464556065
321,58895598.50657392,0.0268797826258014,1104401.4665462743
322,58895598.50657372,0.025026958198902292,1104401.4683992988
323,58895598.50657354,0.023301842917404492,1104401.4701245937
324,58895598.50657339,0.021695634333382043,1104401.4717309638
325,58895598.506573245,0.020200137708604363,1104401.4732266054
326,58895598.50657311,0.018807722314512186,1104401.474619151
