date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-07-12,139,1971.7873998115588,2297.0134027824465,1646.561396840671
2020-07-13,140,1845.5643489227823,2149.97116097721,1541.1575368683548
2020-07-14,141,1727.1539379570995,2012.0301735040448,1442.2777024101542
2020-07-15,142,1616.0977546073623,1882.656417671854,1349.5390915428707
2020-07-16,143,1511.9619014553132,1761.3444291566104,1262.579373754016
2020-07-17,144,1414.3359194356854,1647.6160479019607,1181.05579096941
2020-07-18,145,1322.8317262664734,1541.0191814545126,1104.6442710784343
2020-07-19,146,1237.0825881548012,1441.1266070631873,1033.0385692464151
2020-07-20,147,1156.742117228128,1347.5348037470396,965.9494307092167
2020-07-21,148,1081.4832971496828,1259.8628171960033,903.1037771033623
2020-07-22,149,1010.9975447543762,1177.7511666333223,844.2439228754301
2020-07-23,150,944.9937971622057,1100.8607813577219,789.1268129666896
2020-07-24,151,883.1976354908836,1028.87197992147,737.5232910602973
2020-07-25,152,825.3504376730061,961.4834832134725,689.2173921325398
2020-07-26,153,771.2085671789245,898.4114693703459,644.005664987503
2020-07-27,154,720.542591463951,839.3886633145479,601.6965196133541
2020-07-28,155,673.1365332242506,784.1634645126467,562.1096019358545
2020-07-29,156,628.7871534504759,732.499111776046,525.0751951249058
2020-07-30,157,587.3032650690594,684.1728836944834,490.4336464436355
2020-07-31,158,548.5050785142245,638.9753362668922,458.0348207615567
2020-08-01,159,512.2235749353633,596.7095727257985,427.7375771449282
2020-08-02,160,478.2999108843316,557.1905500339221,399.40927173474114
2020-08-03,161,446.58484919474574,520.2444158928819,372.92528249660967
2020-08-04,162,416.9382186714547,485.707879314016,348.1685580288934
2020-08-05,163,389.2283993166421,453.42761093783713,325.02918769544704
2020-08-06,164,363.33183402941347,423.25967419350064,303.4039938653263
2020-08-07,165,339.1325646745778,395.0689848469147,283.1961445022409
2020-08-08,166,316.52179165520766,368.72879792933503,264.3147853810803
2020-08-09,167,295.3974568089501,344.1202218367222,246.67469178117798
2020-08-10,168,275.66384780768715,321.13175747920513,230.1959381361692
2020-08-11,169,257.2312242173623,299.6588626633307,214.8035857713939
2020-08-12,170,240.0154623089569,279.603538318273,200.42738629964074
2020-08-13,171,223.93772123138362,260.8739396073871,187.00150285538015
2020-08-14,172,208.92412595075533,243.38400657157894,174.4642453299317
2020-08-15,173,194.9054673789136,227.05311479712654,162.7578199607007
2020-08-16,174,181.81692157961865,211.8057483078257,151.8280948514116
2020-08-17,175,169.59778154426982,197.57118709988094,141.6243759886587
2020-08-18,176,158.19120677169573,184.28321541746385,132.09919812592761
2020-08-19,177,147.54398625744656,171.87984564953257,123.20812686536057
2020-08-20,178,137.6063142238283,160.30305706884732,114.90957137880925
2020-08-21,179,128.33158100547942,149.49855222627914,107.1646097846797
2020-08-22,180,119.67617365021488,139.41552466281846,99.9368226376113
2020-08-23,181,111.5992899622494,130.00644228114552,93.19213764335328
2020-08-24,182,104.0627632630171,121.2268432025538,86.89868332348041
2020-08-25,183,97.03089621868085,113.03514218602017,81.02665025134154
2020-08-26,184,90.47030701978039,105.39245143677189,75.54816260278889
2020-08-27,185,84.34978228818723,98.26240925176019,70.43715532461427
2020-08-28,186,78.64014024253827,91.61102061564291,65.66925986943362
2020-08-29,187,73.3141025335011,85.40650789659811,61.22169717040409
2020-08-30,188,68.3461719556099,79.61916838798811,57.073175523231704
2020-08-31,189,63.71252020860003,74.22124355708333,53.20379686011673
2020-09-01,190,59.39088040756822,69.18679382588167,49.59496698925477
2020-09-02,191,55.36044701695939,64.49158200023801,46.22931203368077
2020-09-03,192,51.60178286207054,60.11296494387445,43.090600780266634
2020-09-04,193,48.09672981007432,56.02978952715951,40.163670092989136
2020-09-05,194,44.82832732849154,52.22229775264034,37.43435690434274
2020-09-06,195,41.780734566922,48.67203598495837,34.88943314888563
2020-09-07,196,38.93915757468802,45.36177016379354,32.5165449855825
2020-09-08,197,36.289782235171174,42.275407676411234,30.304156793931114
2020-09-09,198,33.819709479098144,39.39792188504764,28.241497073148647
2020-09-10,199,31.516896442133074,36.715283579053576,26.31850930521257
2020-09-11,200,29.370100368895937,34.214395626459044,24.52580511133283
2020-09-12,201,27.36882592235326,31.883031592591156,22.854620252115364
2020-09-13,202,25.503277033944062,29.709779648374777,21.296774419513348
2020-09-14,203,23.76431020799233,27.683988172789267,19.844632243195395
2020-09-15,204,22.143392144125137,25.79571638554134,18.491067902708934
2020-09-16,205,20.632559586820115,24.03568757420936,17.22943159943087
2020-09-17,206,19.22438133647726,22.395244839433083,16.05351783352144
2020-09-18,207,17.911923804269733,20.86631096839223,14.957536640147236
2020-09-19,208,16.6887175422008,19.44134944434137,13.936085640060226
2020-09-20,209,15.548726801772283,18.113328984294593,12.984124619249972
2020-09-21,210,14.486320936889149,16.87569022513402,12.09695164864428
2020-09-22,211,13.496247113786247,15.722313932320317,11.270180295252176
2020-09-23,212,12.573605739419003,14.647492375449776,10.49971910338823
2020-09-24,213,11.713826587456184,13.645901516475698,9.78175165843667
2020-09-25,214,10.912646978147993,12.712575590570706,9.11271836572528
2020-09-26,215,10.166091493069501,11.842883475026236,8.489299511112767
2020-09-27,216,9.470452433856513,11.032505924858345,7.9083989428546815
2020-09-28,217,8.822272332350698,10.277415198181608,7.367129466519788
2020-09-29,218,8.218326992206103,9.573855300703453,6.862798683708753
2020-09-30,219,7.6556098832353285,8.918323806078632,6.392895960392025
2020-10-01,220,7.131317789136411,8.307555136376623,5.9550804418961985
2020-10-02,221,6.642836866362756,7.738504321505884,5.5471694112196275
2020-10-03,222,6.187730210837048,7.20833251518541,5.167127906488687
2020-10-04,223,5.763725855619187,6.714393012951734,4.81305869828664
2020-10-05,224,5.368705635168858,6.254218279696415,4.483192990641301
2020-10-06,225,5.0006950448609775,5.825508136613105,4.17588195310885
2020-10-07,226,4.657853334273836,5.426118220475703,3.8895884480719696
2020-10-08,227,4.338464674190123,5.054049693727268,3.622879654652979
2020-10-09,228,4.040929688760104,4.7074393799608085,3.3744199975593996
